,county,state,county_population,covid_hospital_admissions_per_100k,covid_cases_per_100k,lon,lat
33985,Morgan County,Alabama,119679.0,0.7,27.57,-86.8529584,34.4296848
33986,Polk County,North Carolina,20724.0,1.9,19.3,-82.176176,35.2779217
33987,Spartanburg County,South Carolina,319785.0,1.9,36.59,-81.9955954,34.937029
33988,Union County,South Carolina,27316.0,1.9,10.98,-81.642794,34.6941696
33989,Cherokee County,South Carolina,57300.0,1.9,41.88,-81.6480755,35.0372626
33990,Clarendon County,South Carolina,33745.0,0.6,35.56,-80.2277002,33.6653463
33991,Lee County,South Carolina,16828.0,0.6,71.31,-80.2539608,34.1619217
33992,Sumter County,South Carolina,106721.0,0.6,79.65,-80.3237032,33.8998826
33993,Butts County,Georgia,24936.0,10.9,240.62,-83.9548161,33.2825083
33994,Spalding County,Georgia,66703.0,10.9,34.48,-84.2770865,33.2591296
33995,Montgomery County,North Carolina,27173.0,3.5,29.44,-79.8979019,35.3299572
33996,Moore County,North Carolina,100880.0,3.5,55.51,-79.4761236,35.3054614
33997,Hoke County,North Carolina,55234.0,3.5,70.61,-79.2432785,35.0271856
33998,Richmond County,North Carolina,44829.0,3.5,49.08,-79.7333261,35.0288383
33999,Jackson County,North Carolina,43938.0,1.0,43.24,-83.1388055,35.2962391
34000,Graham County,North Carolina,8441.0,1.0,23.69,-83.8337785,35.359542
34001,Swain County,North Carolina,14271.0,1.0,63.06,-83.466275,35.45819
34002,Macon County,North Carolina,35858.0,1.0,25.1,-83.3977297,35.1436639
34003,Northampton County,North Carolina,19483.0,0.9,20.53,-77.3642227,36.4168078
34004,Edgecombe County,North Carolina,51472.0,0.9,27.2,-77.5971695,35.9213841
34005,Halifax County,North Carolina,50010.0,0.9,27.99,-77.66834,36.2494056
34006,Nash County,North Carolina,94298.0,0.9,35.0,-77.9755309,35.992983
